"%s was added to your shopping cart.","%s 已经加入您的购物车"
"Order was placed using %s","订单使用%s"
"The order has been cancelled.","成功取消订单。"
"Order was successfully put on hold.","成功锁定订单。"
"Order was successfully released from holding status.","订单状态成功从锁定到解锁。"
"Ordered","已订购"
"Orders","订单管理"
"PDF Credit Memos","PDF格式退货单"
"PDF Invoices","PDF格式单据打印"
"PDF Packingslips","PDF 发货单"
"PDF Print-outs","PDF 打印输出"
"PDF object is not specified.","未指定 PDF 对象。"
"PDF page object is not specified.","未指定 PDF 页对象。"
"Packingslip # ","发货单号"
"Paid","已付款"
"Paid Amount","已付金额"
"Partial","部分"
"Pay","现在支付"
"Payment Failed","支付失败"
"Payment Information","支付信息"
"Payment Method","支付方式"
"Payment Method:","支付方式:"
"Pending","等待付款"
"Pending PayPal","等待 PayPal 支付"
"Pending Payment","等待支付"
"Placed from IP","客户IP地址"
"Please define PDF object before using","请在使用前定制PDF实体"
"Please enter positive number in this field.","请在该栏中填入正数。"
"Please select a customer","请选择客户"
"Please select a store","请选择商店"
"Please select products to add","请选择要增加的商品"
"Price","价格"
"Print","打印"
"Print All","打印已选订单"
"Print All Invoices","打印全部单据"
"Print All Refunds","打印全部退款单"
"Print All Shipments","打印全部配送"
"Print Credit Memos","打印退货单"
"Print Invoice","打印订单单据"
"Print Invoices","打印订单单据"
"Print Order","打印订单"
"Print Order # %s","打印订单 # %s"
"Print Packingslips","打印配送单"
"Print Refund","打印退货单据"
"Print Shipment","打印配送"
"Processing","受理中"
"Processing data problem","处理数据错误"
"Product","商品"
"Product Name","商品名称"
"Products","商品"
"Products in Compare List","比较商品"
"Purchased From","购自"
"Purchased On","购买日期"
"Purchased from (store)","购自 (商店)"
"QTY","数量"
"Qty","数量"
"Qty Invoiced","单据数量"
"Qty to Refund","退款数量"
"Qty to Ship","发货数量"
"Qty Ordered","订购数量"
"Qty Shipped","配送数量"
"Qty To Add","增加数量"
"Qty to Invoice","单据数量"
"Recent Orders","最近订单"
"Recently Compared Products","最近比较商品"
"Recently Viewed","最近查看"
"Recently Viewed Products","最近查看的商品"
"Refresh","更新"
"Refund","退货"
"Refund #","退款号"
"Refund #%s","退款号 %s"
"Refund Amount","退款金额"
"Refund Offline","离线退款"
"Refund Shipping","退运费"
"Refund Totals","退款总额"
"Refunded","已退款"
"Refunds","退货"
"Remove","删除"
"Remove Coupon Code","删除优惠券代码"
"Remove tracking number","删除跟踪号"
"Reorder","重复订单"
"Retrieve invoice information","取回单据信息"
"Retrieve list of invoices by filters","按过滤器条件获取发票列表"
"Retrieve list of orders by filters","按过滤器条件获取订单列表"
"Retrieve list of shipments by filters","按过滤器条件获取配送记录列表"
"Retrieve order information","取回订单信息"
"Retrieve shipment information","取回配送信息"
"Return to Stock","返回库存"
"Returned","退货"
"Row Subtotal","小计"
"Row Total","总价格"
"Refunded amount of %s offline.","Refunded amount of %s offline."
"SHIP TO:","收货地址:"
"SKU","商品编码"
"SOLD TO:","购货人:"
"Sales","销售管理"
"Sales Emails","销售邮件"
"Sales Emails Section","销售邮件单元"
"Sales Section","销售单元"
"Same As Billing Address","与账单地址一致"
"Save and Close Message","保存并关闭信息"
"Save in address book","保存在地址簿"
"Select from existing customer addresses:","从已有客户地址中选择："
"Send Credit Memo Comment Email Copy To","抄送退货备注邮件到"
"Send Credit Memo Email Copy To","抄送退货邮件到"
"Send Invoice Comment Email Copy To","抄送单据备注邮件到"
"Send Invoice Email Copy To","抄送单据邮件到"
"Send Order Comment Email Copy To","抄送订单备注邮件到"
"Send Order Email Copy Method","订购邮件副本发送方式"
"Send Order Email Copy To","抄送订单邮件到"
"Send Shipment Comment Email Copy To","抄送配送备注邮件到"
"Send Shipment Email Copy To","抄送配送邮件到"
"Send Tracking Information","发送配送追踪信息"
"Ship","配送"
"Ship To","收货人"
"Ship to First name","收货人名字"
"Ship to Last name","收货人姓氏"
"Ship to Name","收货人"
"Shipment","配送"
"Shipment #","配送单号"
"Shipment #%s","配送单号%s"
"Shipment Comment Email Sender","配送备注邮件发件人"
"Shipment Comment Email Template","配送备注邮件模板"
"Shipment Comment Email Template for Guest","访客的配送备注邮件模板"
"Shipment Comments","配送备注"
"Shipment Email Sender","配送邮件发件人"
"Shipment Email Template","配送邮件模板"
"Shipment Email Template for Guest","访客的配送邮件模板"
"Shipment Update","配送更新"
"Shipment Update for Guest","访客的配送更新"
"Shipment email not sent","配送邮件未发出"
"Shipment email sent","配送邮件已发出"
"Shipments","配送信息"
"Shipped","已配送"
"Shipped By","配送商"
"Shipping","运费"
"Shipping & Handling","配送及包装"
"Shipping & Handling:","配送及包装："
"Shipping &amp; Handling","配送及包装"
"Shipping &amp; Handling Information","配送及包装说明"
"Shipping Address","配送地址"
"Shipping Amount","配送金额"
"Shipping Information","配送信息"
"Shipping Method","配送方式"
"Shipping Method:","配送方式："
"Shipping Refund","运费退款"
"Shipping and Tracking Information","配送及查询信息"
"Shopping Cart","购物车"
"Signed Up From","登记表格"
"Sku","商品编码"
"Some items have quantities exceeding allowed quantities. Please select a lower quantity to checkout.","某些商品的数量超过限制，，请减少数量后结帐。"
"Some of the products below don\'t have all the required options. Please remove them and add again with all the required options.","Some of the products below don\'t have all the required options. Please remove them and add again with all the required options."
"Sorry, no quotes are available for this order at this time.","对不起，目前没有该订单的报价。"
"Source object is not specified.","未指定源对象。"
"State/Province","省份"
"Status","状态"
"Store Credit","商店退款"
"Submit Comment","提交备注"
"Submit Credit Memo","提交付款"
"Submit Invoice","生成打印单据"
"Submit Order","提交订单"
"Submit Shipment","提交配送"
"Subscribe to Newsletter","订阅邮件列表"
"Subscribe to Order Status","订阅订单状态"
"Subtotal","小计"
"Subtotal after discount.","折扣后小计"
"Subtotal:","小计："
"TAX/VAT Number","税/增值税号"
"Tax","税"
"Tax :","税："
"Tax Amount","税额"
"Telephone","电话"
"The item %s (SKU %s) doesn\'t exist in the catalog anymore","商品%s (商品编码 %s)已不在目录中"
"There are no printable documents related to selected orders.","所选的相关订单没有可打印的单据"
"This message will be shown in shopping cart when subtotal after discount less than minimum amount.","当折扣后合计少于最少起订价时，此消息将被显示在购物车中"
"This order no longer exists.","该订单已不存在。"
"Tier Pricing","分层定价"
"Title","标题名"
"To","收货人"
"To Name","收货人"
"To:","收货人："
"Total %d product(s)","共%d件商品"
"Total Due","总欠额"
"Total Paid","总付款"
"Total Qty","总数量"
"Total Refund","总退款"
"Total Refunded","已退款总额"
"Total Shipping Charges","总运费"
"Total Tax","	税总额"
"Total(ex)","总计(不含税)"
"Total(inc)","总计(含税)"
"Track Order","查询订单"
"Track all shipment(s)","查询所有配送"
"Track all shipments","查询所有配送"
"Track this shipment","查询该配送"
"Track your order","查询订单"
"Tracking","跟踪"
"Tracking Number","查询号"
"Tracking Number(s):","查询号："
"Unhold","订单解锁"
"Unhold order","Unhold order"
"Unknown State","未知省份"
"Unknown Status","未知状态"
"Update Changes","更新修改"
"Update Items and Qty's","更新商品及数量"
"Update Qty\'s","更新数量的"
"Validate Each Address Separately in Multi-address Checkout","在多地址结账时分别验证每个地址"
"View","查看"
"View All","查看全部"
"View Order","查看订单"
"Void","作废"
"Void invoice","无效单据"
"Website","网站"
"Wishlist","收藏"
"You have placed no orders.","您还没有订单。"
"ZIP/Post Code","邮编"
"separate by "",""","用"",""分开"
"Invoice History","单据备注"
"Invoice Totals","单据合计"
"Logo for PDF print-outs (200x50)","LOGO PDF格式打印输出 (200x50)"
"Logo for HTML Print View","HTML格式的LOGO打印显示"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","Logo只用于HTML文件. 如果为空,默认的将被试用.<br />(jpeg, gif, png)"
"Default logo, will be used in PDF and HTML documents.<br />(jpeg, tiff, png)","默认logo, 将被应用于 PDF and HTML文件.<br />(jpeg, tiff, png)"
"No ordered items","没有已下单商品"
"Send Order Email Copy Method","抄送订单邮件方式"
"Customer Group ","客户分组"
"Please cancel your order before delete it","删除订单前请先取消订单"
"Pending PayPal","等待支付宝支付"
"Update Qty's","更新数量"
"Maximum amount available to refund is %s","最多的退款金额不能够超过%s"
"Please enter positive number in this field.","请输入正整数."
"Invoice Title?","发票抬头："
"Invoice Title","发票抬头"
"Print Express","打印快递单"	
"Total Refund","退款总额"
"Total Refunded","共计退款总额"
"Enabled","启用"
"Not Notified","未通知"
"Notified","已通知"
"Item Status","商品状态"
"Original Price","原价"
"Shipping and Tracking Information","配送和跟踪信息"
"Total Shipping Charges","共计运费"
"Order # %s %s| Order Date %s","订单号 %s %s| 订单日期 %s"
"New Credit Memo for Order #%s","新增退款记录 #%s"
"New Credit Memo for Invoice #%s","新增退款记录 #%s"
"Return to Stock","返回库存"
"Qty to Refund","退款数量"
"New Invoice%s for Order #%s","新单据%s #%s"
"Items to Invoice","票据信息"
"This order contains (%s) items and therefore cannot be edited through the admin interface at this time, if you wish to continue editing the (%s) items will be removed, the order will be cancelled and a new order will be placed","您确认吗？该订单将被取消并会生成新订单"
"Total %d product(s)","总计 %d 个商品"
"Please Select a Customer","请选择一个客户"
"Order # %s %s | %s","订单号：%s %s | %s"
"Visible on Frontend","前台可见"
"Transactions","交易"
"Order ID","订单编号"
"Transaction ID","交易编号"
"Parent Transaction ID","上一级交易编号"
"Payment Method Name","付款方式"
"Is Closed","已关闭"
"ID #","编号"
"New Invoice for Order #%s","新单据的订单号：%s"
"The invoice has been created.","单据已创建。"
"The order has been put on hold.","该订单已锁定。"
"The order has been released from holding status.","该订单已取消锁定状态。"
"Are you sure you want to send order email to customer?","你确定想发送订单邮件给客户吗？"
"Checkbox Text","复选框文本"
"Save and Continue Edit","保存并继续编辑"
"the order confirmation email was sent","订单确认邮件已发送"
"Delete All !","删除已选订单"
"Please select items.","请选择选项"
"Custom Price","自定义价格"
"Products in Comparison List","比较中的商品"
"Last Ordered Items","最近购买商品"
"Please Select Products to Add","请选择要添加的商品"
"This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you wish to proceed?","这将创建一个离线退款，如果要创建在线退款，请打开单据信息并点击退货。是否继续？"
"%s order(s) cannot be canceled","%s 订单不能取消"
"No order(s) were released from holding status.","没有订单解锁"
"The order email has been sent.","订单邮件已发送"
"Notification Not Applicable","不需要通知"
"The order has been created.","订单已创建"
"The order(s) cannot be canceled","订单已经是取消状态"
"No order(s) were put on hold.","订单已经是锁定状态 "
"This order contains (%s) items and therefore cannot be edited through the admin interface at this time, if you wish to continue editing the (%s) items will be removed, the order will be canceled and a new order will be placed.","这个订单包含可配置商品，无法在管理页面编辑订单里的商品，如果你选择继续，该订单将被取消并会生成新订单"
"%s order(s) were not put on hold.","%s 个订单不能锁定"
